event_date,forecast_event_count,selected_model,window_days,cap_quantile,cap_value
2020-03-01,5773.086810587897,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-02,6402.733035102987,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-03,6351.098050890484,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-04,6251.513416593024,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-05,5648.532005709978,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-06,5428.641684630764,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-07,5028.696622223847,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-08,5773.60790970472,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-09,6403.185571814055,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-10,6351.491046135061,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-11,6251.854704401245,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-12,5648.828389367663,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-13,5428.899072297204,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-14,5028.920144706,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-15,5773.802022735539,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-16,6403.354144873779,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-17,6351.637439586057,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-18,6251.981836474005,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-19,5648.938794333284,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-20,5428.994950985951,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-21,5029.003408379007,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-22,5773.874331184195,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-23,6403.41693950628,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-24,6351.691972160661,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-25,6252.029194051788,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-26,5648.979920947784,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-27,5429.030666461687,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-28,5029.034424673992,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-29,5773.901266582221,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
2020-03-30,6403.440330941882,hw_recent_w56_q0985_damped,56,0.985,9161.774999999998
